step,CGM,Ins,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation,Infos,Action,Total Reward
140.0,84.765,,Morty,65.347,58.35,122.314,,False,False,,0.04,246.011
141.0,83.056,,Jerry,52.51,58.35,122.314,,False,False,,0.02,233.174
142.0,81.546,,Jerry,47.142,58.35,122.314,,False,False,,0.0,227.807
143.0,80.283,,Jerry,42.513,58.35,122.314,,False,False,,0.0,223.177
144.0,79.321,,Jerry,38.893,58.35,122.314,,False,False,,0.0,219.558
145.0,78.71,,Jerry,36.553,58.35,122.314,,False,False,,0.0,217.217
146.0,78.5,,Jerry,35.743,58.35,122.314,,False,False,,0.0,216.407
147.0,78.743,,Jerry,36.681,58.35,122.314,,False,False,,0.0,217.345
148.0,79.49,,Jerry,39.533,58.35,122.314,,False,False,,0.0,220.197
149.0,82.23,,Jerry,49.597,58.35,122.314,,False,False,,0.0,230.261
150.0,87.493,,Jerry,67.171,58.35,122.314,,False,False,,0.0,247.836
151.0,90.647,,Morty,67.171,76.597,122.314,,False,False,,0.0,266.083
152.0,92.073,,Morty,67.171,80.587,122.314,,False,False,,0.05,270.072
153.0,92.152,,Morty,67.171,80.803,122.314,,False,False,,0.0,270.288
154.0,91.264,,Morty,67.171,78.345,122.314,,False,False,,0.04,267.83
155.0,89.79,,Morty,67.171,74.12,122.314,,False,False,,0.01,263.605
156.0,88.111,,Morty,67.171,69.084,122.314,,False,False,,0.06,258.57
157.0,86.607,,Morty,67.171,64.374,122.314,,False,False,,0.01,253.859
158.0,85.657,,Morty,67.171,61.305,122.314,,False,False,,0.03,250.791
159.0,85.603,,Morty,67.171,61.127,122.314,,False,False,,0.05,250.613
160.0,86.54,,Morty,67.171,64.16,122.314,,False,False,,0.06,253.645
161.0,88.196,,Morty,67.171,69.346,122.314,,False,False,,0.07,258.831
162.0,90.222,,Morty,67.171,75.376,122.314,,False,False,,0.03,264.861
163.0,92.265,,Morty,67.171,81.111,122.314,,False,False,,0.0,270.596
164.0,93.99,,Morty,67.171,85.681,122.314,,False,False,,0.0,275.167
165.0,95.158,,Morty,67.171,88.636,122.314,,False,False,,0.07,278.121
166.0,95.677,,Morty,67.171,89.912,122.314,,False,False,,0.04,279.397
167.0,95.487,,Morty,67.171,89.448,122.314,,False,False,,0.02,278.933
168.0,94.529,,Morty,67.171,87.058,122.314,,False,False,,0.04,276.543
169.0,92.769,,Morty,67.171,82.472,122.314,,False,False,,0.03,271.957
170.0,90.341,,Morty,67.171,75.719,122.314,,False,False,,0.05,265.204
171.0,87.623,,Morty,67.171,67.576,122.314,,False,False,,0.07,257.061
172.0,85.049,,Morty,67.171,59.297,122.314,,False,False,,0.02,248.782
173.0,83.052,,Morty,67.171,52.496,122.314,,False,False,,0.03,241.982
174.0,82.022,,Jerry,48.856,52.496,122.314,,False,False,,0.0,223.666
175.0,82.07,,Jerry,49.026,52.496,122.314,,False,False,,0.0,223.836
176.0,82.893,,Jerry,51.938,52.496,122.314,,False,False,,0.0,226.749
177.0,84.098,,Jerry,56.1,52.496,122.314,,False,False,,0.0,230.911
178.0,85.292,,Jerry,60.102,52.496,122.314,,False,False,,0.0,234.912
179.0,86.119,,Morty,60.102,62.806,122.314,,False,False,,0.0,245.223
180.0,86.459,,Morty,60.102,63.903,122.314,,False,False,,0.0,246.319
181.0,86.543,,Morty,60.102,64.172,122.314,,False,False,,0.0,246.588
182.0,86.679,,Morty,60.102,64.604,122.314,,False,False,,0.03,247.021
183.0,87.174,,Morty,60.102,66.173,122.314,,False,False,,0.02,248.59
184.0,88.3,,Morty,60.102,69.663,122.314,,False,False,,0.04,252.079
185.0,90.098,,Morty,60.102,75.017,122.314,,False,False,,0.03,257.433
186.0,92.267,,Morty,60.102,81.116,122.314,,False,False,,0.04,263.533
187.0,94.43,,Morty,60.102,86.807,122.314,,False,False,,0.01,269.223
